47.672,0.72389146.8321,0.82473211.071,0.040548811.0375,0.06017711.0018,0.036277310.9975,0.046538911.0089,0.049088310.9367,0.069677410.9322,0.038829710.9224,0.028450710.9487,0.064592310.8794,0.0439733
47.672,0.72389146.8321,0.81716510.6756,0.043083110.6415,0.07325910.6056,0.031094810.6141,0.046538910.6143,0.051671910.5423,0.074838710.5366,0.04400710.5271,0.033623510.551,0.064592310.4828,0.0439733
47.672,0.71397546.8453,0.80959910.2802,0.045617410.2586,0.070642610.2094,0.036277310.2176,0.038782410.2197,0.054255510.148,0.074838710.141,0.046595710.145,0.031037110.1534,0.064592310.0995,0.0413866
47.672,0.71397546.8453,0.8095999.8848,0.04561749.8625,0.06802629.82635,0.03627739.83426,0.03361149.82512,0.04908839.75363,0.06709689.75853,0.04141849.74979,0.02845079.75572,0.06200869.70288,0.0413866
47.672,0.71397546.8453,0.8070779.50259,0.04815179.47962,0.07064269.43013,0.03627739.43772,0.03619699.43054,0.04650479.35928,0.06709689.36291,0.04918439.3677,0.03103719.35807,0.05942499.30631,0.0413866
47.672,0.72389146.8453,0.8095999.10719,0.04561749.08353,0.06540989.0339,0.03627739.04117,0.02844049.03595,0.03875398.97807,0.06451618.9673,0.05695028.97244,0.03620998.97367,0.05684128.90973,0.0413866
47.672,0.71397546.8453,0.8095998.7118,0.04561748.68745,0.07587548.63768,0.03368618.65785,0.03102598.65452,0.04392118.58372,0.05419358.57168,0.05953898.57718,0.03362358.57602,0.05425758.51315,0.04656
47.672,0.70405946.8453,0.8121218.32959,0.04561748.30457,0.0732598.25466,0.03109488.26131,0.02326948.25994,0.05167198.18937,0.06193558.18925,0.05695028.19509,0.03103718.19163,0.0671768.11658,0.0491466
47.672,0.71397546.8453,0.8196887.9342,0.0506867.90848,0.06802627.85844,0.02072997.87798,0.02326947.86536,0.04650477.79502,0.05677427.79363,0.05953897.79983,0.03362357.79397,0.06200867.73322,0.0491466
47.672,0.71397546.8453,0.822217.53881,0.04815177.5256,0.06279347.47542,0.02850367.48144,0.02326947.48393,0.04133757.41381,0.04903227.39802,0.05953897.40457,0.03103717.40958,0.06200867.34987,0.0569066
47.672,0.70405946.8453,0.822217.15659,0.04815177.14272,0.06540987.09241,0.02850367.09811,0.02844047.1025,0.04392117.0326,0.04645167.01559,0.05695027.02248,0.03103717.02518,0.06200866.96651,0.0569066
47.672,0.71397546.8453,0.8121216.77438,0.04815176.75984,0.0601776.70939,0.03109486.71479,0.03102596.72107,0.04392116.6514,0.04645166.63316,0.05695026.6404,0.03103716.64078,0.05942496.58315,0.0569066
47.672,0.70405946.8453,0.8121216.40535,0.0506866.37696,0.05756066.33958,0.03886856.33147,0.03361146.33964,0.03875396.28334,0.04129036.26392,0.05695026.27148,0.02845076.26964,0.05425756.21302,0.0491466
